LAST_SALE_PRICE,SQFT,LOT_SIZE,BEDS,BATHS
410000,950,6697,1,1
229000,446,446,0,1
370000,1400,6500,3,1
436000,1610,7200,4,2
415000,2520,14000,4,2.75
505000,2048,7200,3,1.75
550000,2140,13264,3,1.5
385000,1270,,3,1
365000,1080,8645,3,1
399000,2280,14850,3,1.75
400000,1940,12061,4,1.75
682000,3300,7368,5,4
365000,1630,7000,3,1
480000,2520,10075,5,2.75
416500,1258,9120,3,1.5
589000,2160,8700,4,2.5
525000,2190,7550,3,2.75
410000,2400,7200,3,2
425000,1820,7000,3,2
637000,2650,14060,5,3.5
490000,1890,9205,4,1.75
280000,960,7700,2,1.5
540000,2390,7245,4,2.75
550000,2000,21225,4,2
445000,1990,12550,4,2.25
326364,1300,,3,1
339500,1070,6000,2,1.75
395000,1410,6210,3,2
288000,1580,9800,3,1.75
382500,2150,8567,4,2.25
515000,2090,5047,4,2.5
447000,2070,7575,4,2.25
525000,2410,5024,5,3
450000,2150,8015,4,2.25
525000,2880,8502,4,3
375000,1500,12372,3,1.75
375000,1550,8576,3,2
295000,959,3190,3,1
439950,1810,7245,3,2.25
371500,1000,9000,2,1
454000,1940,8120,4,2.75
490000,2110,7392,5,2.25
500000,1790,5952,3,2.5
403000,1810,,4,3
349950,1130,9730,3,1.5
360000,1100,6000,3,1.5
525000,3000,10336,4,2.75
380000,1620,12994,3,2
392000,,13650,3,1
579950,2250,7500,4,2.75
330000,1590,8280,4,1.75
,1880,8460,3,2.25
260000,1110,5329,3,1
335000,2580,8025,4,1.5
520000,1470,8600,3,1.5
393000,1540,8084,3,1
345000,1240,7380,3,1
225000,2130,,4,2
360000,950,9072,3,1
502500,1710,9254,4,2
412000,1730,8069,3,2
515000,2750,8104,3,2.75
527000,2630,13040,3,2.25
502000,2320,20738,3,1.75
350000,1540,8433,4,2
373500,2030,8433,4,2
460000,1154,8616,3,1.75
432500,2230,7370,5,2.25
485000,1720,7967,4,2
410000,2350,8570,4,2.25
515000,2040,10564,4,2.5
525000,1530,17574,4,2.25
432500,1710,13747,3,2
433000,1980,7147,3,2.5
405000,1370,7695,3,1
409000,1330,9568,3,1.75
360000,1890,,4,1
515000,2272,8750,5,1.75
495000,2120,6865,4,2
435000,1340,7912,3,1.5
392000,1580,9058,3,1.5
250000,840,14292,1,1
495000,2360,9483,5,2.75
444000,1470,7540,4,2
381000,1510,8109,3,1
526000,2270,8772,4,1.75
420000,1340,9127,3,2
345000,780,,2,1
415000,1710,12194,3,1.75
375500,1080,7370,3,1
480000,2770,13413,4,2.75
502500,2332,7172,4,2.75
476000,2600,8069,4,1.75
532500,2600,8089,4,2.5
287675,1190,,3,1
336000,1961,10774,4,1.75
305000,1360,6949,2,1
400000,1620,7410,4,2.5
276000,1260,12750,4,1
330000,1100,10605,3,1
367000,1100,8613,3,1
482500,1690,8075,3,2.5
395000,1790,,3,1
330000,1500,7598,3,1
445000,2000,7500,4,2.5
410000,2064,8320,5,2
375000,1510,9425,4,1.5
223000,880,6856,2,1
327000,900,6856,2,1
330000,1060,,2,1
385000,2230,6264,4,2.75
360000,1390,8257,3,1.75
312000,1120,5100,3,1
388000,1880,8100,4,2.5
375000,1830,8100,4,2.5
370000,1010,8188,2,1
326000,1290,,3,1.5
