BEDS,BATHS,LOT_SIZE,LAST_SALE_PRICE,SQFT
4,2.5,22578,678000,2410
4,2,4000,888000,2660
4,2.25,5000,682000,2800
3,2,6400,1600000,3790
6,2.5,7431,750000,2940
4,1.75,7200,682000,2240
3,2.75,5500,896000,3230
5,3.25,12345,425000,4550
5,2.5,4000,911000,3800
3,2,7000,425000,1820
5,1.5,6000,651000,3090
3,1,6600,375000,980
3,1.75,6790,669100,1780
5,3,8515,538000,3900
3,1,5625,728000,2000
4,3.25,1600,629000,2670
2,1.5,7700,280000,960
3,2.25,1948,725000,1880
2,1,7600,383000,1560
5,3.5,4080,2295000,3130
3,2.75,7323,850000,2310
2,1,7986,349500,950
3,1,7672,398000,1200
2,1,2280,575000,1860
3,2,3250,668000,1500
3,1.75,3764,536000,2070
6,3.75,5800,1260000,4110
4,3.5,4400,1075000,4580
5,5,3750,500000,2740
4,2.5,2500,649000,1460
3,1.75,5000,821500,2670
4,2,9263,465000,1800
5,1,3825,677888,2780
2,1,5250,400000,920
3,1,3000,518500,880
1,1,5287,335000,580
5,2.75,5000,577000,1940
3,1.5,3904,1150000,2930
3,1.75,6000,863000,2600
4,1,7250,408000,1080
3,1.75,5000,513000,1890
3,1.75,6440,389000,1440
4,3,7200,461500,2460
4,2.5,10522,2250000,3670
4,2.75,4470,705000,2620
3,2,8069,412000,1730
4,3.25,7040,644950,2910
3,1.75,4320,1133000,2070
3,3.5,2434,792000,2940
3,1.5,6584,1095000,1580
5,3.5,5250,887950,5160
3,1.75,6240,432500,1030
3,1,7284,325000,960
3,2.5,5000,870000,1910
3,1.75,5508,556450,1560
3,1,6982,355000,1200
3,2.5,3825,830000,2050
4,2.25,10120,545000,1830
3,1.75,4000,916500,2690
1,1,2500,320000,540
4,2.5,10025,790000,2890
4,1,5000,562000,2420
3,1.5,5000,900000,2740
4,3,8836,1725000,3480
4,1.75,7230,666000,2490
3,2.25,8166,507500,2660
5,2.75,3750,852000,2850
5,3,8167,460000,3600
3,1.75,4800,980000,2640
3,2.25,7500,960000,1920
4,2,8040,836000,2830
4,2.5,8702,790000,2480
4,1.5,7882,453000,1740
4,1.75,7460,1100000,2900
4,3.25,7366,870000,3360
2,1.5,8159,384751,1240
4,3.5,5000,800000,3790
4,1,4030,775000,2290
3,1.75,7260,325000,1410
5,1.75,8129,495000,3200
4,1.5,3844,380000,2920
2,3,1308,790000,2000
3,3.25,1591,699000,1647
4,1.5,7564,515000,2330
3,1,7200,420000,1080
5,3,6900,1180000,4320
4,2,8743,502500,2670
5,3.5,6424,1360000,1460
4,2.5,4000,640000,2860
2,1,5000,505000,1080
3,1.75,7096,475000,1980
3,1.75,5931,455000,2360
4,2,21486,750000,2460
4,2.5,6055,325000,1870
4,1.75,3400,729000,2540
3,2.5,5180,1129000,2540
4,2.5,7324,677000,3890
4,3,6350,599950,1530
2,2.75,4080,485000,2170
3,1,9600,425000,1280
4,2.5,7380,765000,3260
3,1.75,7140,369950,1400
4,2.5,4000,640000,2860
5,3.25,8310,610000,3780
2,1.5,6318,766300,2110
3,1,15000,449950,1690
3,2,4010,530000,2220
3,1.75,6853,561000,2020
4,2.75,5974,860000,2830
6,1.75,3840,550000,2150
3,1,3774,410000,1700
2,1,8280,375000,860
3,1,9450,479700,1130
4,2.75,5500,955000,2980
5,4,8400,1700000,6010
2,1,3200,575000,1720
3,2.25,5000,895000,2490
4,4,7800,2450000,5580
3,1.75,5250,435500,2100
2,1.75,6790,625000,1880
3,1.75,5222,785000,3180
5,2.75,4560,950000,2870
2,2.25,2500,580000,1370
4,1.75,8772,526000,2860
2,1,3950,530000,800
4,2.75,3088,1185000,2780
2,1,10530,263500,830
4,3,7889,455000,1960
4,2.5,8415,735000,2620
2,1.75,7050,344500,930
4,2.25,6000,970000,3400
3,2,3360,680000,1570
3,1.75,3311,389500,2280
4,2.75,5000,838500,2630
3,2,3376,563000,2150
3,1,2570,118000,1250
3,1.5,4500,700000,2120
2,1.75,3000,612000,1520
3,1.75,5000,631268,2690
4,2,6865,495000,3180
3,3.25,1542,715000,1463
3,1,5048,336000,1250
4,1.75,16584,520000,2780
3,3.25,25034,2450000,3250
3,1.75,6839,908000,2140
3,1.75,5182,458000,1650
4,1.75,5985,862000,2680
3,1.75,18102,558000,2220
4,2,7200,893000,2450
3,1.5,5461,629950,2140
4,2.5,36679,725000,2740
4,3.5,10700,605000,3660
3,1.5,9000,360000,1350
3,1.75,3000,432999,1800
2,1.75,5100,747000,1050
4,2.25,7228,445000,2150
3,3,3696,765000,2160
4,3,2560,770000,2170
2,0.75,6809,399600,1860
2,1,3375,405500,1170
4,3.5,6000,1675000,3410
4,2,2600,555000,2420
5,3.25,5330,729500,3400
3,1.75,3540,1162500,2100
4,3.5,3648,1145000,1250
3,1.75,8996,550000,1530
4,2.75,3700,437986,2350
2,1,3600,575000,2040
3,1,4592,565000,880
4,2.5,64069,700000,2870
3,3,4800,915000,2380
3,2.25,3550,710000,2160
4,2.5,3357,820000,1930
5,3.5,3520,1400000,1020
3,1.75,7454,415000,1880
3,2.5,8149,417000,1890
3,3.25,3975,1300000,1540
2,1.75,5000,120000,1240
4,3.25,7200,2100000,2750
3,1.5,5503,326000,1290
5,3.5,6000,1300000,4110
3,2.25,7875,432000,1750
4,2,4000,625000,2370
4,2,4245,855000,3100
4,2,7800,687000,2620
4,2.75,8400,1650000,3400
3,3.25,3918,1395000,2730
4,2.5,5413,1248000,3020
3,2,5500,315000,1880
3,1.75,9571,367000,1240
3,1.75,5000,595000,2170
5,2.25,7370,432500,2560
4,2.25,3745,690000,2250
3,1,7800,399950,1130
3,1.75,2380,625001,1750
2,2,1861,377100,1740
3,1.75,5250,585000,2240
4,3.25,5000,1648000,1420
4,1.75,5000,610000,3040
4,2.75,4500,275000,2780
3,2.25,20241,265500,2580
2,1,4085,466000,940
4,2.5,7658,715000,3120
3,3.25,14835,650000,3900
4,1,8531,377000,1230
3,1.75,3826,880000,2200
6,3,7200,684000,2120
3,3,3840,1409000,3400
3,1,7561,300000,1750
4,2,12831,540000,2730
4,2.5,7248,574950,2260
3,2.5,4200,1133200,3371
3,1.75,6527,530571,2620
3,1.75,5411,515000,2400
3,2,9000,605000,1620
5,2.75,3234,875000,2730
3,1.75,3680,510000,1730
3,2,4080,699000,1820
4,1.75,5200,871000,2940
3,2,7199,379950,1780
5,2.75,9360,679000,760
4,1,3196,420000,2050
5,3,4070,640000,2300
4,1.75,3880,560000,2670
3,2,4000,965000,2500
4,1.75,6177,1025000,2760
3,1.75,7330,397950,1920
3,2.5,5499,530000,2400
4,2.5,10192,710000,2630
2,1,2230,402500,800
4,4,5800,1600000,4210
5,3.75,9605,1780000,3720
3,1,3000,340000,1570
3,2.75,5100,219000,2190
3,2,13747,432500,1710
4,2.75,3074,1205000,1960
4,3,4500,1210000,3170
2,1,3880,633500,1740
3,2.5,7239,505000,1910
3,2,3570,781000,2060
3,2.75,5040,525000,1970
3,3,7367,550000,2460
4,2.25,7512,800000,2640
3,3.5,3821,1075000,2984
2,1,3520,576000,1100
4,3.75,3844,670100,2820
4,3.75,7075,1375000,2580
4,2,3605,759000,1850
3,3.25,1676,799950,1844
3,1,8800,1200000,3960
4,2.75,7200,313500,2506
3,1,7616,465000,960
3,2,5100,653393,2000
5,2.75,12570,1100000,3340
3,1.75,5618,1260000,3270
3,2,4800,855700,2300
3,2,6600,445500,1500
4,1.5,8100,350000,1440
3,2.5,6786,890000,2920
5,1.75,4500,1200000,3450
3,1.75,9248,433900,1610
3,2.25,6240,449000,1780
3,1,2992,475000,1730
3,2.5,2500,766000,1860
3,1.5,7000,1200000,2960
3,3,5142,858888,3710
4,2.75,3940,653000,2200
5,3,5024,525000,2410
3,3,2571,640000,2340
4,1.75,11900,650000,2520
2,1,5000,455000,1030
2,1,4956,484950,2070
4,2.75,7250,4243000,4350
4,2.75,6750,607000,2420
3,2.5,5000,930000,2720
2,1,9260,496000,1580
3,2.25,8063,425000,1890
2,1.75,6322,694000,1650
3,3.25,2457,900000,1500
3,2.75,80791,4325000,4400
3,1,8941,365000,2090
3,2.25,14830,495000,1950
2,1,5150,530000,930
3,2.5,4403,1128386,2844
3,1.75,5220,431400,1800
3,2,2090,762500,1682
4,3.25,3360,795000,3090
2,1,2400,525000,1170
3,1.75,2640,1302500,2340
3,1,8064,361500,1390
3,2.5,1455,630000,2170
3,1,8613,367000,1100
4,2,4200,904000,2850
3,2.5,3210,710000,1650
5,2,31094,480150,2680
4,1,7200,398000,1350
5,3.5,18596,910000,3157
3,2.5,1517,502500,2640
2,1.75,9924,425000,1510
3,2,2640,425000,1260
2,1.75,12600,427500,1970
3,1,9930,373000,2170
3,2.5,14381,960000,1995
4,1.75,3720,501500,1900
3,2.5,1270,598950,1346
3,2.5,1225,638950,1475
6,5.25,52082,3150000,8820
3,1.75,13200,390000,2520
3,1.75,3400,670000,1730
3,1.75,14739,649950,1900
5,2.75,5000,895000,2820
3,2.5,4462,1030000,2844
2,1,6380,432000,2200
4,1,3240,548000,2260
2,1.75,4800,725000,1550
4,2.5,3248,1001000,2960
4,3.5,5808,820000,2540
4,1.75,6122,800000,2560
5,2,4800,1210000,3820
5,2.75,10092,690000,5400
3,1.75,6710,476950,2230
3,1,7200,399000,1390
4,3.25,5000,881000,3530
3,2,3696,598117,1560
4,2.5,6380,735000,1250
3,2,8550,722000,1720
3,1,7128,480000,1780
3,2.25,6378,553000,910
4,2.75,3783,660000,2810
2,1,4240,599000,2040
5,2.5,7999,611750,2900
4,3.5,3753,882000,2360
2,1,7000,630000,1660
3,2.25,1481,689000,1654
3,1.5,4140,680000,2520
3,1.5,5000,725000,2540
6,6,39813,3925000,5830
5,2.75,6000,770000,2370
4,2,5796,620000,2120
2,1,9309,375000,1280
3,1.5,6000,360000,800
4,2.5,7490,670000,2180
4,3.25,5250,1590000,3400
1,1,5000,633000,1990
4,1,8520,425000,1310
2,1,5419,534000,1130
4,3.5,5700,870000,2550
4,1.75,5100,535000,2080
5,3,7200,1565000,4380
3,1,7200,423000,1040
3,1.75,2500,1096500,2240
2,2.25,1611,735000,1540
4,1.75,5250,889000,2590
3,2.5,1246,649950,1535
4,3.25,8364,457000,4980
4,2.5,7840,1537500,3540
3,2.25,9600,1910000,2590
4,1.75,7938,725000,4220
3,1.75,8378,496000,2760
3,1,5250,380000,1710
3,1.75,4729,649950,1620
2,1,3000,370000,1610
4,3.5,3790,1060000,3310
4,2.5,4500,525000,2300
3,2.5,6383,525000,1740
2,1,3250,455000,1360
3,1.75,5000,695000,2360
2,1.5,1815,599000,1250
