Sample,Method,Defects,Weight
1,A,0,9.3
2,A,0,9.7
3,A,0,9.9
4,A,0,9.8
5,A,0,10
6,A,0,10.1
7,A,0,10.1
8,A,0,10
9,A,0,10.2
10,A,0,9.5
11,A,0,9.9
12,A,0,9.8
13,A,0,10.5
14,A,0,10.1
15,A,1,10
16,A,0,10
17,A,0,10
18,A,0,10.1
19,A,0,9.7
20,A,0,10.2
21,A,0,10.1
22,A,0,9.6
23,A,0,9.8
24,A,0,9.9
25,A,0,10.3
26,A,0,10.1
27,A,0,10.3
28,A,0,10.3
29,A,0,10.2
30,A,0,9.4
31,A,0,9.7
32,A,0,9.8
33,A,0,10.1
34,A,0,10.3
35,A,0,9.8
36,A,0,10.5
37,A,0,10.4
38,A,0,9.9
39,A,0,9.5
40,A,0,9.8
41,A,0,9.9
42,A,0,9.7
43,A,0,10
44,A,0,10.5
45,A,0,9.9
46,A,0,10.3
47,A,0,10.5
48,A,0,9.7
49,A,0,10
50,A,0,10.7
51,A,0,10.3
52,A,0,10
53,A,1,10.8
54,A,0,10.3
55,A,0,10
56,A,0,10.1
57,A,0,10.4
58,A,0,10
59,A,0,9.9
60,A,1,10
61,A,0,9.7
62,A,0,9.7
63,A,0,10
64,A,0,9.8
65,A,0,10
66,A,0,9.7
67,A,0,10.2
68,A,0,10.2
69,A,0,9.7
70,A,0,10
71,A,0,9.7
72,A,0,10.1
73,A,0,9.7
74,A,0,10
75,B,0,10.6
76,B,0,10.2
77,B,1,10.1
78,B,0,9.8
79,B,0,9.9
80,B,1,10.6
81,B,0,10.1
82,B,1,9.5
83,B,0,9.9
84,B,1,9.8
85,B,0,9.9
86,B,0,9.9
87,B,0,10.4
88,B,0,10.4
89,B,0,10
90,B,0,9.8
91,B,0,9.9
92,B,0,9.8
93,B,0,10.3
94,B,0,9.6
95,B,0,9.9
96,B,0,9.9
97,B,0,10.2
98,B,0,10.7
99,B,2,9.8
100,B,0,9.7
101,B,1,10
102,B,0,9.3
103,B,0,10.7
104,B,0,10.2
105,B,0,10.1
106,B,0,10.1
107,B,0,9.9
108,B,1,10.2
109,B,1,10.1
110,B,0,10
111,B,0,10.3
112,B,0,10.1
113,B,0,10.4
114,B,0,10.2
115,B,0,9.3
116,B,0,9.9
117,B,1,9.9
118,B,0,10
119,B,1,10.4
120,B,0,10.1
121,B,0,9.7
122,B,0,9.7
123,B,0,9.6
124,B,0,10.3
125,B,0,9.8
126,B,0,10.1
127,B,1,9.8
128,B,1,10
129,B,0,9.5
130,B,0,9.8
131,B,1,10.1
132,B,0,10
133,B,0,10.1
134,B,0,10.1
135,B,1,10
136,B,0,10
137,B,0,9.8
138,B,0,9.4
139,B,0,10.1
140,B,0,9.2
141,B,1,9.9
142,B,0,10.1
143,B,0,10.1
144,B,0,10
145,B,0,10.1
146,B,1,10.3
147,B,0,9.8
148,B,0,9.7
149,B,0,9.7
150,C,0,10.2
151,C,3,11
152,C,0,10.7
153,C,0,10.2
154,C,0,10.5
155,C,0,9.7
156,C,0,9.9
157,C,0,9.9
158,C,0,10.5
159,C,0,9.1
160,C,0,9.5
161,C,0,9.3
162,C,0,10.1
163,C,0,9.7
164,C,1,10
165,C,0,10.1
166,C,0,9.9
167,C,0,10.1
168,C,1,10.3
169,C,0,10.2
170,C,0,9.7
171,C,0,10.5
172,C,0,10.4
173,C,0,9.3
174,C,0,10.5
175,C,1,10.1
176,C,0,10.2
177,C,0,10
178,C,0,9.7
179,C,0,10.2
180,C,0,9.9
181,C,2,10.8
182,C,0,10
183,C,0,10.1
184,C,1,10.6
185,C,0,10.1
186,C,1,9.9
187,C,0,11.1
188,C,0,9.7
189,C,0,10.6
190,C,0,10.5
191,C,0,11
192,C,1,10
193,C,0,9.5
194,C,0,10.1
195,C,0,10.5
196,C,0,10.3
197,C,0,10.1
198,C,0,10.5
199,C,0,10
200,C,0,10.6
201,C,0,10
202,C,0,10.3
203,C,0,9.6
204,C,0,10
205,C,0,9.7
206,C,0,9.3
207,C,0,10.4
208,C,0,10.5
209,C,0,9.2
210,C,0,10
211,C,0,9.8
212,C,0,9.7
213,C,1,9.4
214,D,1,9.2
215,D,1,9.7
216,D,0,9.9
217,D,0,10.5
218,D,0,9.7
219,D,1,10.1
220,D,1,11.1
221,D,0,10.8
222,D,1,10.8
223,D,0,9.7
224,D,0,10.4
225,D,0,10.4
226,D,0,10.2
227,D,0,9.7
228,D,0,9.8
229,D,0,10.2
230,D,0,10.1
231,D,0,9.7
232,D,0,9.7
233,D,0,10.6
234,D,0,9.5
235,D,0,10.2
236,D,0,10.7
237,D,0,10.2
238,D,0,10.4
239,D,0,9.8
240,D,1,9.4
241,D,0,11.9
242,D,0,10.3
243,D,0,9.7
244,D,1,10.7
245,D,1,9.8
246,D,0,9.8
247,D,0,9.1
248,D,0,10
249,D,0,9.9
250,D,0,11
251,D,0,10.7
252,D,1,9.3
253,D,0,10.8
254,D,0,10.5
255,D,0,9
256,D,0,11
257,D,0,10.5
258,D,0,11.2
259,D,0,9.6
260,D,0,9.8
261,D,0,10.3
262,D,0,10.5
263,D,1,10
264,D,1,10.2
265,D,0,10.6
